Scientific Name
Echinopsis cardenasiana
Echinopsis caulescens
Echinopsis chalaensis
Echinopsis chamaecereus
Echinopsis chiloensis
Echinopsis chrysantha
Echinopsis chrysochete
Echinopsis cinnabarina
Echinopsis clavata
Echinopsis clavatus
Echinopsis coquimbana
Echinopsis cuzcoensis
Echinopsis densispina
Echinopsis derenbergii
Echinopsis deserticola
Echinopsis famatinensis
Echinopsis ferox
Echinopsis formosa
Echinopsis haematantha
Echinopsis hahniana
Echinopsis hertrichiana
Echinopsis huascha
Echinopsis jajoana
Echinopsis lageniformis
Echinopsis lateritia
Echinopsis leucantha
Echinopsis mamillosa
Echinopsis marsoneri
Echinopsis maximiliana
Echinopsis mieckleyi
Echinopsis mirabilis
Echinopsis obrepanda
Echinopsis oligotricha
Echinopsis oxygona
Echinopsis pachanoi
Echinopsis pampana
Echinopsis pamparuizii
Echinopsis pentlandii
Echinopsis peruviana
Echinopsis pugionacantha
Echinopsis quadratiumbonata
Echinopsis rauschii
Echinopsis rhodotricha
Echinopsis rojasii
Echinopsis rowleyi
Echinopsis saltensis
Echinopsis schickendantzii
Echinopsis schieliana
Echinopsis serpentina
Echinopsis spiniflora
Echinopsis stilowiana
Echinopsis strigosa
Echinopsis tacaquirensis
Echinopsis tarijensis
Echinopsis tegeleriana
Echinopsis terscheckii
Echinopsis thelegona
Echinopsis thelegonoides
Echinopsis thionantha
Echinopsis tiegeliana
Echinopsis tunariensis
Echinopsis vasquezii
Echinopsis volliana
Echinopsis walteri
Echinopsis werdermanniana
Echinopsis yuquina
Epiphyllum anguliger
Epiphyllum baueri
Epiphyllum cartagense
Epiphyllum crenatum
Epiphyllum grandilobum
Epiphyllum hookeri
Epiphyllum laui
Epiphyllum lepidocarpum
Epiphyllum oxypetalum
Epiphyllum phyllanthus
Epiphyllum pumilum
Epiphyllum thomasianum
Epithelantha bokei
Epithelantha micromeris
Eriosyce aspillagae
Eriosyce aurata
Eriosyce bulbocalyx
Eriosyce calderana
Eriosyce chilensis
Eriosyce confinis
Eriosyce crispa
Eriosyce curvispina
Eriosyce engleri
Eriosyce eriosyzoides
Eriosyce esmeraldana
Eriosyce garaventae
Eriosyce heinrichiana
Eriosyce iquiquensis
Eriosyce islayensis
Eriosyce kunzei
Eriosyce laui
Eriosyce megliolii
Eriosyce napina
Eriosyce occulta
Eriosyce odieri
Eriosyce paucicostata
Eriosyce recondita
Eriosyce rodentiophila
Eriosyce senilis
Eriosyce simulans
Eriosyce sociabilis
Eriosyce strausiana
Eriosyce subgibbosa
Eriosyce taltalensis
Eriosyce umadeave
Eriosyce villicumensis
Eriosyce villosa
Escobaria abdita
Escobaria alversonii
Escobaria chihuahuensis
Escobaria cubensis
Escobaria dasyacantha
Escobaria duncanii
Escobaria emskoetteriana
Escobaria hesteri
Escobaria laredoi
Escobaria lloydii
Escobaria minima
Escobaria missouriensis
Escobaria robbinsorum
Escobaria sneedii
Escobaria tuberculosa
Escobaria vivipara
Escobaria zilziana
Escontria chiotilla
Espostoa baumannii
Espostoa blossfeldiorum
Espostoa calva
Espostoa cremnophila
Espostoa frutescens
Espostoa guentheri
Espostoa hylaea
Espostoa lanata
Espostoa melanostele
Espostoa mirabilis
Espostoa senilis
Espostoa superba
Espostoa utcubambensis
Espostocactus mirabilis
Espostoopsis dybowskii
Eulychnia acida
Eulychnia breviflora
Eulychnia castanea
Eulychnia chorosensis
Eulychnia iquiquensis
Eulychnia ritteri
Eulychnia taltalensis
Facheiroa cephaliomelana
Facheiroa squamosa
Facheiroa ulei
Ferocactus alamosanus
Ferocactus chrysacanthus
Ferocactus cylindraceus
Ferocactus diguetii
Ferocactus echidne
Ferocactus emoryi
Ferocactus flavovirens
Ferocactus fordii
Ferocactus glaucescens
Ferocactus gracilis
Ferocactus haematacanthus
Ferocactus hamatacanthus
Ferocactus herrerae
Ferocactus histrix
Ferocactus johnstonianus
Ferocactus latispinus
Ferocactus lindsayi
Ferocactus macrodiscus
Ferocactus mathssonii
Ferocactus peninsulae
Ferocactus pilosus
Ferocactus pottsii
Ferocactus robustus
Ferocactus santa-maria
Ferocactus schwarzii
Ferocactus tiburonensis
Ferocactus townsendianus
Ferocactus uncinatus
Ferocactus viridescens
Ferocactus wislizeni
Frailea alexandri
Frailea buenekeri
Frailea castanea
Frailea cataphracta
Frailea chiquitana
Frailea curvispina
Frailea fulviseta
Frailea gracillima
Frailea mammifera
Frailea phaeodisca
Frailea pumila
Frailea pygmaea
Frailea schilinzkyana
Geohintonia mexicana
Grusonia aggeria
Grusonia bradtiana
Grusonia bulbispina
Grusonia clavata
Grusonia emoryi
Grusonia grahamii
Grusonia guccinii
Grusonia invicta
Grusonia kunzei
Grusonia marenae
Grusonia moelleri
Grusonia parishii
Grusonia pulchella
Grusonia reflexispina
Grusonia robertsii
Grusonia schottii
Grusonia vilis
Gymnocalycium alboareolatum
Gymnocalycium amerhauseri
Gymnocalycium andreae
Gymnocalycium angelae
Gymnocalycium anisitsii
Gymnocalycium baldianum
Gymnocalycium bayrianum
Gymnocalycium berchtii
Gymnocalycium bodenbenderianum
Gymnocalycium bruchii
Gymnocalycium calochlorum
Gymnocalycium capillaense
Gymnocalycium carolinense
Gymnocalycium castellanosii
Gymnocalycium chacoense
Gymnocalycium chiquitanum
Gymnocalycium deeszianum
Gymnocalycium denudatum
Gymnocalycium erinaceum
Gymnocalycium esperanzae
Gymnocalycium eurypleurum
Gymnocalycium gibbosum
Gymnocalycium glaucum
Gymnocalycium horstii
Gymnocalycium hossei
Gymnocalycium kieslingii
Gymnocalycium kroenleinii
Gymnocalycium marsoneri
Gymnocalycium mesopotamicum
Gymnocalycium mihanovichii
Gymnocalycium monvillei
Gymnocalycium mostii
Gymnocalycium neuhuberi
Gymnocalycium nigriareolatum
Gymnocalycium ochoterenae
Gymnocalycium oenanthemum
